sku,name,description,short_description,attr_desc_features,attr_desc_supplement
"sdi_108656","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108657","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108658","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108659","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108660","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108661","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108662","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108663","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108664","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108665","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108666","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108667","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108668","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108669","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108670","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108671","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108672","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108673","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108674","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108675","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108676","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108677","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108678","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108679","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108680","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108681","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108682","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108683","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108684","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108685","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108686","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108687","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108688","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108689","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108690","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108691","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108692","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108693","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
"sdi_108694","703000 Crucifix Leonardo- Wood Carved","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"".  Standard finish (as shown) is colored.  Other finishes available upon request. (Natural Wood, Stained, 3x Stained, Gold Leafed, Antiqued, etc). <P>Please allow 6-8 weeks for delivery.<br><br>Now available in 83""/177"" and 95""/217""","Crucifix Leonardo - Hand Carved in Italy.  Available from 5"" to 95"". Click image for more details!","The Making of Woodcarvings: Selected mountain wood is cut into pieces and air dried for several years.  The sculptor carves his works according to his own sketches, drafts and ideas.  Every single piece of art is painted and decorated by hand with great love and care by qualified painters.","International and domestic freight is calculated for sizes up to 24"".  For larger sizes freight will be billed at a later date. Call for More Information!"
